"";"filenames";"tabloid";"non_tabloid";"is_tabloid";"title";"fakt";"pap";"topics";"image";"mediagallery"
"1";2183808309;1;2;FALSE;"Jak przygotowaæ siê do wakacyjnego wyjazdu do W³och - informacje praktyczne";0;0;"w³ochy,abc,poradnik";1;0
"2";3814465425;0;2;FALSE;"Dlaczego wybieramy niezdrowe jedzenie?";1;0;"kuchnia,niezdrowe jedzenie,dlaczego nie lubimy zdrowego jedzenia,lubiê niezdrowe jedzenie,fast foody a zdrowe jedzenie";1;0
"3";1925279945;0;2;FALSE;"Szyd³o: do wyborów idziemy z has³em ""Praca, nie obietnice""";0;1;"praca,kraj,podatki,emerytury,finanse,cit,bud¿et,po,pis";1;0
"4";3734025271;1;1;FALSE;"Nie ¿yje Gary Richrath z grupy rockowej REO Speedwagon";0;0;"reo speedwagon,muzyka,œmieræ,rock";0;0
"5";2336577417;0;3;FALSE;"Apple planuje wejœcie na rynek konsol?";0;0;"apple";1;0
"6";4947209925;3;0;TRUE;"Chcesz ¿yæ d³ugo? Jedz surowe jajka i strze¿ siê mê¿czyzn";1;0;"zdrowie i fitness,emma morano,jak byæ zdrowym,dieta emmy morano,diety znanych";1;0
"7";5695680283;0;1;FALSE;"W szko³ach wiêcej wypadków ni¿ w górnictwie";0;0;"wiadomoœci z rynku pracy,kraj";1;0
"8";4792085147;0;1;FALSE;"Xbox One pozwoli streamowaæ gry na PC w 1080p i 60 klatkach na sekundê";0;0;"xbox one";1;0
"9";4781828169;0;2;FALSE;"Ekspert: wybory w Grecji nie podwa¿¹ realizacji programu pomocowego";0;1;"grecja,ue,grecja na krawêdzi bankructwa,magazyn finanse,finanse publiczne";1;0
"10";4504246362;0;2;FALSE;"PKW publikuje pierwsze, cz¹stkowe wyniki referendum";0;0;"referendum w sprawie jow,pkw,kraj";1;0
"11";3259914714;1;1;FALSE;"Ignorancja i g³upota";0;0;"opinie";1;0
"12";3976393772;2;0;TRUE;"Piotr Duda: chciano mnie zdyskredytowaæ jako krezusa";0;0;"solidarnoœæ,kraj,piotr duda";1;0
"13";2274291443;0;3;FALSE;"Wa¿ne dane dla dolara w tym tygodniu";0;0;"komentarze walutowe,eurusd,eurpln";0;0
"14";4508324632;0;3;FALSE;"Senat odrzuci³ wniosek prezydenta Andrzeja Dudy ws. paŸdziernikowego referendum";0;1;"referendum,kraj,andrzej duda,senat";1;0
"15";4119764154;0;3;FALSE;"Grecja: Cipras ponownie nie uzyska³ wiêkszoœci rz¹dowej";0;1;"grecja,œwiat";1;0
"16";4786590096;0;1;FALSE;"Prezydent podpisa³ ustawê o kredytach na nowe technologie";0;1;"prawo,kraj,magazyn finanse,wiadomoœci";1;0
"17";4832971950;0;2;FALSE;"Ekspert: propozycje PO zaszkodz¹ etatowcom, a nie pomog¹ prekariuszom";0;1;"prawo pracy,po,kraj,wiadomoœci z rynku pracy,zatrudnienie";1;0
"18";4887854710;1;0;TRUE;"Wcisnêli mi bubel!";1;0;"konsument,emerytka,oszukana,halina gwizda³a,koenzym,q10";1;0
"19";3533522332;0;1;FALSE;"Unijni urzêdnicy wydaj¹ astronomiczne kwoty";0;1;"administracja publiczna,pe,ue,ke,koszty";1;0
"20";5393864985;2;1;TRUE;"Gwiezdne wojny: Przebudzenie mocy: nowy klip w sieci";0;0;"gwiezdne wojny: czêœæ vii - przebudzenie mocy,film,filmy";1;0
"21";5843894216;0;1;FALSE;"Mission: Impossible - Rogue Nation wci¹¿ na szczycie box office USA";0;0;"mission: impossible - rogue nation,film";1;0
"22";3096416130;1;0;TRUE;"Te badania szokuj¹. M³odzie¿ nie wie z kim chce uprawiaæ seks";1;0;"seks i emocje,wielka brytania,seks,orientacja seksualna,heteroseksualni,homoseksualni,homoseksualizm,zwi¹zki,badania,sonda¿";1;0
"23";4310119873;0;1;FALSE;"American Horror Story: Hotel: Lady Gaga urz¹dzi³a tematyczn¹ imprezê dla obsady serialu";0;0;"american horror story: hotel (serial),lady gaga,seriale";1;0
"24";5095433942;0;3;FALSE;"Fragment: ""Kasacja"" Remigiusz Mróz";0;0;"remigiusz mróz,ksi¹¿ki,fragmenty ksi¹¿ek,kasacja,zaginiêcie";1;0
"25";5690529259;0;2;FALSE;"Zembala na manifestacji pielêgniarek: podwy¿ka 1600 z³ roz³o¿ona na 4 lata";0;1;"s³u¿ba zdrowia,wiadomoœci z rynku pracy,zarobki,medycyna";1;0
"26";2364235107;3;2;TRUE;"Best Look: Elisa Sednaoui w komplecie Alberta Ferretti";0;0;"styl gwiazd";1;0
"27";2416142839;5;0;TRUE;"Sêdzia okrad³ Benzemê";1;0;"mundial 2014,mistrzostwa œwiata w brazylii,szwajcaria - francja,karim benzema,nieuznany gol,bjorn kuipers";0;0
"28";4705639661;0;1;FALSE;" Europejska Nagroda Obywatelska dla Fundacji Oswoiæ Los";0;1;"fundacja,kraj,parlament europejski";0;0
"29";4802982543;2;0;TRUE;"10 sposobów na to, jak nie daæ siê rutynie w zwi¹zku";1;0;"seks i emocje,rutyna w zwi¹zku,zwi¹zek,sympatia.pl,sympatia,uczucia,mi³oœæ,relacje,jak utrzymaæ zwi¹zek";1;0
"30";5518698261;1;0;TRUE;"Mata ochronna za 49 z³otych";1;0;"konsument,promocje,mata ochronna";1;0
"31";3622996067;0;5;FALSE;"UE daje pieniêdze na nowe miejsca pracy w Polsce";0;1;"kraj,wiadomoœci z rynku pracy,bezrobocie";1;0
"32";4594224559;0;2;FALSE;"Kopacz: Rada Krajowa PO zbierze siê najprawdopodobniej pod koniec tygodnia";0;1;"ewa kopacz,po,wybory parlamentarne 2015,kraj";0;0
"33";4409609238;0;3;FALSE;"Ostróda gospodarzem, a Polska faworytem mistrzostw œwiata w rozwi¹zywaniu zadañ szachowych";0;0;"szachy";1;0
"34";2663949397;2;2;FALSE;"MŒ: zagraniczne media zachwycone Anit¹ W³odarczyk";0;1;"lekkoatletyczne mistrzostwa œwiata w pekinie,anita w³odarczyk,rzut m³otem,lekkoatletyka";1;0
"35";3739929759;2;1;TRUE;"Ale wpadka. Student ogl¹da³ porno na wyk³adzie FILM";1;0;"œwiat,porno,wpadka,wpadka studenta,wpadka na zajêciach,australia,sydney,youtube";1;0
"36";2338981861;0;1;FALSE;"A mo¿e noc¹ wyjechaæ nad morze?";0;0;"kraj";1;0
"37";2421816207;2;0;TRUE;"Krad³a i wpad³a w pu³apkê!";1;0;"gdañsk,pomorze,trójmiasto,gdañsk,magazyn odzie¿owy,z³odziejka,stra¿ po¿arna,stra¿ miejska";1;0
"38";3769454929;0;3;FALSE;"Chiñski rollercoaster trwa w najlepsze";0;0;"komentarze gie³dowe (œwiat)";1;0
"39";3198334700;0;1;FALSE;"Zysk netto Energi w II kw. poni¿ej konsensusu, ale EBITDA zgodna z oczekiwaniami";0;1;"energa,wiadomoœci gie³dowe (kraj),wyniki spó³ek";0;0
"40";2471450702;0;3;FALSE;"Raport o suszy: najwiêkszy deficyt wody na LubelszczyŸnie";0;1;"magazyn rolnictwo,kraj,rolnictwo";1;0
"41";2414106700;1;0;TRUE;"Kim Kardashian stawia na polsk¹ modê";1;0;"moda i uroda,kim kardashian,magda butrym,styl gwiazd,stylizacje gwiazd,stylizacje kim kardashian,kim kardashian w polskiej marce,keeping up with the kardashians";1;0
"42";2856999007;0;1;FALSE;"Yamaha szykuje terenow¹ MT-09?";0;0;"yamaha,motocykle";1;0
"43";2827914259;2;1;TRUE;"Zrobi³am to z szefem. Seks w delegacji to nie zdrada?";1;0;"seks i emocje,seks,alkohol,wyjazdy integracyjne,zdrady,seks na wyjazdach integracyjnych,seks w pracy";1;0
"44";4529982836;3;1;TRUE;"Avril Lavigne rozsta³a siê z mê¿em: ""Jesteœmy i bêdziemy najlepszymi przyjació³mi""";0;0;"avril lavigne";1;0
